Component,MeanVar,Param,Model,REP,Trait
P,208141.54819292485,Aleatorio,12,18,KW
GE,3.549902775525174,Aleatorio,12,18,KW
PE,22.09360083701165,Aleatorio,12,18,KW
GW,11.062971921572977,Aleatorio,12,18,KW
PW,72.06774708868348,Aleatorio,12,18,KW
Residual,12.493894133345034,Aleatorio,2,19,KW
E,342.7959957463223,Fixo,2,19,KW
P,41540405.850303955,Aleatorio,2,19,KW
PE,46.13058258179733,Aleatorio,2,19,KW
Residual,9.914442739206878,Aleatorio,7,19,KW
E,273.14613775168124,Fixo,7,19,KW
G,66.26007460986087,Aleatorio,7,19,KW
P,384789.69301102083,Aleatorio,7,19,KW
GE,4.709856174773648,Aleatorio,7,19,KW
PE,33.91513437654178,Aleatorio,7,19,KW
Residual,12.459760406977976,Aleatorio,11,19,KW
E,306.3812487831673,Fixo,11,19,KW
W,0.39280122955730346,Aleatorio,11,19,KW
P,41383229.441723205,Aleatorio,11,19,KW
PE,34.122364734562126,Aleatorio,11,19,KW
PW,132.27272178629067,Aleatorio,11,19,KW
Residual,10.004645615808798,Aleatorio,12,19,KW
E,260.23178041792767,Fixo,12,19,KW
W,0.24447882305594426,Aleatorio,12,19,KW
G,69.82675435415598,Aleatorio,12,19,KW
P,283287.3853351901,Aleatorio,12,19,KW
GE,3.630565092472808,Aleatorio,12,19,KW
PE,23.23708076781371,Aleatorio,12,19,KW
GW,11.28560567105283,Aleatorio,12,19,KW
PW,74.14433352658799,Aleatorio,12,19,KW
Residual,12.492684002078276,Aleatorio,2,20,KW
E,323.7230335247103,Fixo,2,20,KW
P,41293691.071300514,Aleatorio,2,20,KW
PE,51.07982636677177,Aleatorio,2,20,KW
Residual,10.637982188801667,Aleatorio,7,20,KW
E,310.9596265289641,Fixo,7,20,KW
G,73.510645901006,Aleatorio,7,20,KW
P,239326.68366067848,Aleatorio,7,20,KW
GE,5.062285895804104,Aleatorio,7,20,KW
PE,30.999815416580816,Aleatorio,7,20,KW
Residual,18.312875393692156,Aleatorio,11,20,KW
E,386.09651593901833,Fixo,11,20,KW
W,0.4352168390414657,Aleatorio,11,20,KW
P,38209148.7435721,Aleatorio,11,20,KW
PE,35.680796554602054,Aleatorio,11,20,KW
PW,126.74111858692932,Aleatorio,11,20,KW
Residual,9.644095078189073,Aleatorio,12,20,KW
E,295.2979642786874,Fixo,12,20,KW
W,0.24635538738489918,Aleatorio,12,20,KW
G,66.99528422508688,Aleatorio,12,20,KW
P,202351.2653211436,Aleatorio,12,20,KW
GE,3.5421318824977406,Aleatorio,12,20,KW
PE,24.576442548105984,Aleatorio,12,20,KW
GW,11.100171449819223,Aleatorio,12,20,KW
PW,62.87019754070259,Aleatorio,12,20,KW
