Rep,Model,Trait,Component,MeanVar,DIC,runtime_sec
1,1,GY,Residual,42.33874931040473,6855.528392984923,87.29576802253723
1,1,GY,E,1243.0330414488378,6855.528392984923,87.29576802253723
1,1,GY,G,184.77880052249733,6855.528392984923,87.29576802253723
1,1,GY,GE,26.55446586269958,6855.528392984923,87.29576802253723
1,10,GY,Residual,41.09349820088663,6840.700563497924,120.82738304138184
1,10,GY,E,1545.0639363991252,6840.700563497924,120.82738304138184
1,10,GY,W,1.6137004426558015,6840.700563497924,120.82738304138184
1,10,GY,G,166.5476681038071,6840.700563497924,120.82738304138184
1,10,GY,GE,18.49041350431761,6840.700563497924,120.82738304138184
1,10,GY,GW,52.39546877584766,6840.700563497924,120.82738304138184
1,11,GY,Residual,49.452621242674674,6953.0692897927565,114.55064105987549
1,11,GY,E,1163.9212597748317,6953.0692897927565,114.55064105987549
1,11,GY,W,1.6288258850018553,6953.0692897927565,114.55064105987549
1,11,GY,P,140856483.92892385,6953.0692897927565,114.55064105987549
1,11,GY,PE,131.34130141907312,6953.0692897927565,114.55064105987549
1,11,GY,PW,406.46110515224615,6953.0692897927565,114.55064105987549
1,12,GY,Residual,37.61584205905436,6733.291844146051,163.8164520263672
1,12,GY,E,1000.7273961067394,6733.291844146051,163.8164520263672
1,12,GY,W,0.9756420554729978,6733.291844146051,163.8164520263672
1,12,GY,G,138.31486489466062,6733.291844146051,163.8164520263672
1,12,GY,P,403248.72539528826,6733.291844146051,163.8164520263672
1,12,GY,GE,13.657181971404086,6733.291844146051,163.8164520263672
1,12,GY,PE,85.03349602688888,6733.291844146051,163.8164520263672
1,12,GY,GW,39.71863195360932,6733.291844146051,163.8164520263672
1,12,GY,PW,264.6160184276116,6733.291844146051,163.8164520263672
1,13,GY,Residual,44.635979172996585,6826.563533608207,87.63693809509277
1,13,GY,E,701.3990170007445,6826.563533608207,87.63693809509277
1,13,GY,W,1.3983292187922225,6826.563533608207,87.63693809509277
1,13,GY,GGK,1049.9491248972445,6826.563533608207,87.63693809509277
1,13,GY,GGKE,51.015175214862886,6826.563533608207,87.63693809509277
1,13,GY,GGKW,144.41401806077732,6826.563533608207,87.63693809509277
1,14,GY,Residual,192.3218224155257,8350.591354413216,121.95577597618103
1,14,GY,E,1127.342676216499,8350.591354413216,121.95577597618103
1,14,GY,W,1.5270743957416135,8350.591354413216,121.95577597618103
1,14,GY,PGK,96.58374404030037,8350.591354413216,121.95577597618103
1,14,GY,PGKE,46.17492656595573,8350.591354413216,121.95577597618103
1,14,GY,PGKW,114.9452724313587,8350.591354413216,121.95577597618103
1,15,GY,Residual,39.802271079205696,6896.09121905018,147.3016209602356
1,15,GY,E,837.1492216970508,6896.09121905018,147.3016209602356
1,15,GY,W,1.0207140982059215,6896.09121905018,147.3016209602356
1,15,GY,GGK,967.2283056704032,6896.09121905018,147.3016209602356
1,15,GY,PGK,15.015273410561731,6896.09121905018,147.3016209602356
1,15,GY,GGKE,35.89299139285391,6896.09121905018,147.3016209602356
1,15,GY,PGKE,13.669229323859987,6896.09121905018,147.3016209602356
1,15,GY,GGKW,92.17246440944851,6896.09121905018,147.3016209602356
1,15,GY,PGKW,29.123990431075896,6896.09121905018,147.3016209602356
1,16,GY,Residual,47.74548993270239,6852.875223509046,94.55734610557556
1,16,GY,E,2554.0406053116635,6852.875223509046,94.55734610557556
1,16,GY,W,1.7044162971636616,6852.875223509046,94.55734610557556
1,16,GY,GAK,18076.289964697007,6852.875223509046,94.55734610557556
1,16,GY,GAKE,176.68896636441536,6852.875223509046,94.55734610557556
1,16,GY,GAKW,1541.9007691937622,6852.875223509046,94.55734610557556
1,17,GY,Residual,259.3047953676453,8390.344633057946,118.70236396789551
1,17,GY,E,1264.8681500883251,8390.344633057946,118.70236396789551
1,17,GY,W,1.346398742352378,8390.344633057946,118.70236396789551
1,17,GY,PAK,6104.73558195858,8390.344633057946,118.70236396789551
1,17,GY,PAKE,80.08916725256633,8390.344633057946,118.70236396789551
1,17,GY,PAKW,325.57572051177823,8390.344633057946,118.70236396789551
1,18,GY,Residual,45.72316292248501,6838.4195232986885,151.77698397636414
1,18,GY,E,366.0227793569522,6838.4195232986885,151.77698397636414
1,18,GY,W,1.0067081494488666,6838.4195232986885,151.77698397636414
1,18,GY,GAK,17738.239297180553,6838.4195232986885,151.77698397636414
1,18,GY,PAK,96.26323236600683,6838.4195232986885,151.77698397636414
1,18,GY,GAKE,152.8496046842771,6838.4195232986885,151.77698397636414
1,18,GY,PAKE,52.072202558913716,6838.4195232986885,151.77698397636414
1,18,GY,GAKW,1554.8724616605782,6838.4195232986885,151.77698397636414
1,18,GY,PAKW,108.4670225043656,6838.4195232986885,151.77698397636414
1,2,GY,Residual,50.050558709453846,6953.192316682223,82.06257390975952
1,2,GY,E,1209.6656697045812,6953.192316682223,82.06257390975952
1,2,GY,P,141259375.5373947,6953.192316682223,82.06257390975952
1,2,GY,PE,152.62574848000733,6953.192316682223,82.06257390975952
1,3,GY,Residual,46.21742274629433,6858.494476600624,62.61496901512146
1,3,GY,E,1110.177220776028,6858.494476600624,62.61496901512146
1,3,GY,GGK,1088.8249033449806,6858.494476600624,62.61496901512146
1,3,GY,GGKE,83.35307216441808,6858.494476600624,62.61496901512146
1,4,GY,Residual,193.3178145547575,8339.773119352001,92.60082602500916
1,4,GY,E,1280.0579450168368,8339.773119352001,92.60082602500916
1,4,GY,PGK,135.41694625298268,8339.773119352001,92.60082602500916
1,4,GY,PGKE,61.11379736844778,8339.773119352001,92.60082602500916
1,5,GY,Residual,51.386033815455185,6912.646489290637,63.59920001029968
1,5,GY,E,940.5936661123826,6912.646489290637,63.59920001029968
1,5,GY,GAK,18485.088745741126,6912.646489290637,63.59920001029968
1,5,GY,GAKE,472.54332179320204,6912.646489290637,63.59920001029968
1,6,GY,Residual,261.7650569899083,8393.975221367502,91.25496196746826
1,6,GY,E,1412.1842431790528,8393.975221367502,91.25496196746826
1,6,GY,PAK,5974.526164202257,8393.975221367502,91.25496196746826
1,6,GY,PAKE,99.01994970688669,8393.975221367502,91.25496196746826
1,7,GY,Residual,43.09524896939125,6843.318014233941,134.16695594787598
1,7,GY,E,1030.963374380742,6843.318014233941,134.16695594787598
1,7,GY,G,183.13059849866616,6843.318014233941,134.16695594787598
1,7,GY,P,295.5428371266532,6843.318014233941,134.16695594787598
1,7,GY,GE,20.391292642923897,6843.318014233941,134.16695594787598
1,7,GY,PE,126.09574460916636,6843.318014233941,134.16695594787598
1,8,GY,Residual,41.12146445071861,6900.2063261708345,128.92822003364563
1,8,GY,E,1095.303564200778,6900.2063261708345,128.92822003364563
1,8,GY,GGK,991.9836998001946,6900.2063261708345,128.92822003364563
1,8,GY,PGK,19.313841111111696,6900.2063261708345,128.92822003364563
1,8,GY,GGKE,54.9909412644253,6900.2063261708345,128.92822003364563
1,8,GY,PGKE,17.851686179500913,6900.2063261708345,128.92822003364563
1,9,GY,Residual,51.40463132198373,6911.372010547514,123.31302380561829
1,9,GY,E,960.2012907232278,6911.372010547514,123.31302380561829
