Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Category,Description,ComponentLabel
M5,KW,GAK,7751.08542723121,5518.750452016022,59.26127779483795,8098.584337235524,0.9570914007270889,M5,Eta5,Single-source + E,E + GAK + GAKE,Genomic arccosine (GAK)
M5,KW,GAKE,61.0529737113467,5518.750452016022,59.26127779483795,8098.584337235524,0.007538721728270267,M5,Eta5,Single-source + E,E + GAK + GAKE,GAK × E
M5,KW,Residual,12.766967739805928,5518.750452016022,59.26127779483795,8098.584337235524,0.0015764443769642794,M5,Eta5,Single-source + E,E + GAK + GAKE,Residual
M6,GY,E,1471.9964085988033,8392.4538991224,41.98729197978973,8010.237025862733,0.1837644009591918,M6,Eta6,Single-source + E,E + PAK + PAKE,Environment (E)
M6,GY,PAK,6172.942106280432,8392.4538991224,41.98729197978973,8010.237025862733,0.7706316412797514,M6,Eta6,Single-source + E,E + PAK + PAKE,Phenomic arccosine (PAK)
M6,GY,PAKE,104.19702571690266,8392.4538991224,41.98729197978973,8010.237025862733,0.01300798283252801,M6,Eta6,Single-source + E,E + PAK + PAKE,PAK × E
M6,GY,Residual,261.1014852665952,8392.4538991224,41.98729197978973,8010.237025862733,0.03259597492852886,M6,Eta6,Single-source + E,E + PAK + PAKE,Residual
M6,KW,E,368.922858619336,7213.691486863105,83.96360788345336,3480.217733621333,0.1060056832235764,M6,Eta6,Single-source + E,E + PAK + PAKE,Environment (E)
M6,KW,PAK,3005.789946003712,7213.691486863105,83.96360788345336,3480.217733621333,0.8636787052044711,M6,Eta6,Single-source + E,E + PAK + PAKE,Phenomic arccosine (PAK)
M6,KW,PAKE,31.0056678855988,7213.691486863105,83.96360788345336,3480.217733621333,0.008909117261848993,M6,Eta6,Single-source + E,E + PAK + PAKE,PAK × E
M6,KW,Residual,74.49926111268624,7213.691486863105,83.96360788345336,3480.217733621333,0.021406494310103465,M6,Eta6,Single-source + E,E + PAK + PAKE,Residual
M7,GY,E,1108.6060420974218,6829.710802785132,78.20134768486022,48331.9709525284,0.02293732327171787,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Environment (E)
M7,GY,G,177.9690985792372,6829.710802785132,78.20134768486022,48331.9709525284,0.003682223072467668,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Genomic linear (G)
M7,GY,GE,20.548531556589392,6829.710802785132,78.20134768486022,48331.9709525284,4.2515401610193247e-4,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,G × E
M7,GY,P,46875.003949004866,6829.710802785132,78.20134768486022,48331.9709525284,0.9698550053968508,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Phenomic linear (P)
M7,GY,PE,107.33902661389345,6829.710802785132,78.20134768486022,48331.9709525284,0.0022208700472679194,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,P × E
M7,GY,Residual,42.504304676392714,6829.710802785132,78.20134768486022,48331.9709525284,8.794241955938522e-4,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Residual
M7,KW,E,285.44754664156517,4931.936813057891,140.56884381771087,1327650.045522658,2.1500209908793593e-4,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Environment (E)
M7,KW,G,56.772080009990226,4931.936813057891,140.56884381771087,1327650.045522658,4.2761328711167016e-5,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Genomic linear (G)
M7,KW,GE,3.2056137251180803,4931.936813057891,140.56884381771087,1327650.045522658,2.4145020262897076e-6,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,G × E
M7,KW,P,1327270.4634846216,4931.936813057891,140.56884381771087,1327650.045522658,0.9997140948103633,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Phenomic linear (P)
M7,KW,PE,27.645936163105688,4931.936813057891,140.56884381771087,1327650.045522658,2.0823210345480966e-5,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,P × E
M7,KW,Residual,6.510861496435174,4931.936813057891,140.56884381771087,1327650.045522658,4.904049465740073e-6,M7,Eta7,Integrated G/P + E,E + G + P + GE + PE,Residual
M8,GY,E,1035.0055427459222,6907.892482117857,68.33805367946624,2164.0003031539222,0.47828345552329793,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Environment (E)
M8,GY,GGK,993.7191261755204,6907.892482117857,68.33805367946624,2164.0003031539222,0.45920470747033837,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Genomic Gaussian (GGK)
M8,GY,GGKE,57.02709189472575,6907.892482117857,68.33805367946624,2164.0003031539222,0.026352626573855658,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,GGK × E
M8,GY,PGK,19.39834536443892,6907.892482117857,68.33805367946624,2164.0003031539222,0.008964113977325605,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Phenomic Gaussian (PGK)
