"kernel","n_rows","n_cols","is_square","symmetric_names","aligned_with_reference"
"ZG (genomic)",982,982,TRUE,TRUE,TRUE
"ZP (phenomic/NIR)",982,982,TRUE,TRUE,TRUE
"ZEZE (categorical environment)",982,982,TRUE,TRUE,TRUE
"ZW (weather-derived)",982,982,TRUE,TRUE,TRUE
